song_name,artist,album,played_at,date
This City,Sam Fischer,This City,2021-09-08T11:18:04.213Z,2021-09-08
Memories,Maroon 5,JORDI (Deluxe),2021-09-08T11:14:48.901Z,2021-09-08
Lose You To Love Me,Selena Gomez,Rare,2021-09-08T11:11:38.659Z,2021-09-08
Don't Wait Up,Shakira,Don't Wait Up,2021-09-08T11:08:11.809Z,2021-09-08
Hold On,Justin Bieber,Hold On,2021-09-08T11:04:47.336Z,2021-09-08
ocean eyes,Billie Eilish,dont smile at me,2021-09-08T10:59:47.478Z,2021-09-08
if we never met (feat. Kelsea Ballerini),John K,if we never met (feat. Kelsea Ballerini),2021-09-02T10:24:06.131Z,2021-09-02
Wonder,Shawn Mendes,Wonder,2021-09-02T10:13:22.845Z,2021-09-02
This City,Sam Fischer,This City,2021-09-02T10:10:29.721Z,2021-09-02
Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,2021-09-02T10:07:14.426Z,2021-09-02
This City,Sam Fischer,This City,2021-09-02T10:04:12.335Z,2021-09-02
Stuck with U (with Justin Bieber),Ariana Grande,Stuck with U,2021-09-02T09:58:09.031Z,2021-09-02
Say You Won't Let Go,James Arthur,Back from the Edge,2021-09-02T09:54:19.549Z,2021-09-02
Lose You To Love Me,Selena Gomez,Rare,2021-09-02T09:50:41.882Z,2021-09-02
Memories,Maroon 5,JORDI (Deluxe),2021-09-02T09:47:14.503Z,2021-09-02
Beautiful People (feat. Khalid),Ed Sheeran,Beautiful People (feat. Khalid),2021-09-02T09:44:05.079Z,2021-09-02
Before You Go,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),2021-09-02T09:40:46.816Z,2021-09-02
comethru,Jeremy Zucker,"summer,",2021-09-02T09:37:10.978Z,2021-09-02
I Like Me Better,Lauv,I met you when I was 18. (the playlist),2021-09-02T09:34:09.160Z,2021-09-02
"10,000 Hours (with Justin Bieber)",Dan + Shay,"10,000 Hours (with Justin Bieber)",2021-09-02T09:30:50.917Z,2021-09-02
